Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
261569,User 37,70204,1,6/30/2014,19:33,6/30/2014,20:23,2.63,Woodhouse Lane Car Park,APT 7kW Dual Outlet
261146,User 37,70204,2,6/29/2014,16:06,6/29/2014,17:40,5.82,Woodhouse Lane Car Park,APT 7kW Dual Outlet
260029,User 37,70204,2,6/25/2014,20:17,6/25/2014,21:18,2.84,Woodhouse Lane Car Park,APT 7kW Dual Outlet
253159,User 4,70200,1,06/08/2014,13:54,06/08/2014,15:43,6.58,Woodhouse Lane Car Park,APT 7kW Dual Outlet
250057,User 23,70204,1,5/30/2014,16:27,5/30/2014,17:10,1.63,Woodhouse Lane Car Park,APT 7kW Dual Outlet
248161,User 34,70201,1,5/26/2014,13:29,5/26/2014,16:24,10.46,Woodhouse Lane Car Park,APT 7kW Dual Outlet
247743,User 11,70200,2,5/24/2014,10:31,5/24/2014,11:16,1.28,Woodhouse Lane Car Park,APT 7kW Dual Outlet
243750,User 17,70202,1,05/12/2014,15:55,05/12/2014,17:27,5.7,Woodhouse Lane Car Park,APT 7kW Dual Outlet
243232,User 11,70202,1,05/10/2014,10:18,05/10/2014,11:04,1.26,Woodhouse Lane Car Park,APT 7kW Dual Outlet
236159,User 15,70204,2,4/18/2014,08:41,4/18/2014,18:11,4.7,Woodhouse Lane Car Park,APT 7kW Dual Outlet
234600,User 15,70204,2,04/12/2014,11:55,04/12/2014,21:12,5.39,Woodhouse Lane Car Park,APT 7kW Dual Outlet
233978,User 15,70204,2,04/10/2014,07:41,04/10/2014,17:12,5.63,Woodhouse Lane Car Park,APT 7kW Dual Outlet
