Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
1084155,User 44,70201,1,02/07/2015,17:13,02/07/2015,21:21,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1087776,User 64,70201,1,05/07/2015,15:56,05/07/2015,17:32,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1088487,User 628,70206,2,06/07/2015,09:03,06/07/2015,17:07,3.48,Elland Road Park and Ride,APT 7kW Dual Outlet
1089925,User 628,70206,2,07/07/2015,08:56,07/07/2015,16:57,6.46,Elland Road Park and Ride,APT 7kW Dual Outlet
1094520,User 58,70205,1,10/07/2015,09:21,10/07/2015,14:43,9.67,Elland Road Park and Ride,APT 7kW Dual Outlet
1095239,User 87,70203,1,10/07/2015,17:37,10/07/2015,23:22,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1096288,User 64,70206,2,11/07/2015,16:35,11/07/2015,16:36,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1096289,User 64,70206,2,11/07/2015,16:36,11/07/2015,19:08,14.78,Elland Road Park and Ride,APT 7kW Dual Outlet
1097286,User 63,70204,2,12/07/2015,14:29,12/07/2015,17:05,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1097291,User 84,70201,1,12/07/2015,14:40,12/07/2015,16:11,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1099789,User 58,70205,1,14/07/2015,11:39,14/07/2015,16:41,9.98,Elland Road Park and Ride,APT 7kW Dual Outlet
1101223,User 628,70206,2,15/07/2015,08:55,15/07/2015,16:40,9.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1102911,User 628,70206,2,16/07/2015,08:53,16/07/2015,17:00,6.72,Elland Road Park and Ride,APT 7kW Dual Outlet
1106181,User 67,70207,1,18/07/2015,12:52,18/07/2015,18:30,9.85,Elland Road Park and Ride,APT 7kW Dual Outlet
1108358,User 628,70206,1,20/07/2015,08:47,20/07/2015,16:30,2.39,Elland Road Park and Ride,APT 7kW Dual Outlet
1109826,User 628,70206,1,21/07/2015,08:46,21/07/2015,16:18,5.74,Elland Road Park and Ride,APT 7kW Dual Outlet
1110454,User 57,70208,1,21/07/2015,14:02,21/07/2015,14:17,1.72,Elland Road Park and Ride,APT 7kW Dual Outlet
1111384,User 636,70205,1,22/07/2015,07:44,22/07/2015,17:02,17.92,Elland Road Park and Ride,APT 7kW Dual Outlet
1111426,User 628,70206,1,22/07/2015,08:35,22/07/2015,16:42,6.17,Elland Road Park and Ride,APT 7kW Dual Outlet
1112964,User 636,70205,1,23/07/2015,08:10,23/07/2015,17:34,12.94,Elland Road Park and Ride,APT 7kW Dual Outlet
1114616,User 628,70206,1,24/07/2015,08:39,24/07/2015,16:52,10.06,Elland Road Park and Ride,APT 7kW Dual Outlet
1115736,User 51,70203,1,24/07/2015,19:09,24/07/2015,22:08,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1117718,User 636,70205,1,27/07/2015,08:35,27/07/2015,17:25,15.76,Elland Road Park and Ride,APT 7kW Dual Outlet
1118746,User 636,70205,1,28/07/2015,08:28,28/07/2015,16:53,13.69,Elland Road Park and Ride,APT 7kW Dual Outlet
1118761,User 628,70206,1,28/07/2015,08:41,28/07/2015,17:46,11.09,Elland Road Park and Ride,APT 7kW Dual Outlet
1120286,User 636,70205,1,29/07/2015,08:25,29/07/2015,17:12,13.73,Elland Road Park and Ride,APT 7kW Dual Outlet
1128836,User 636,70205,1,04/08/2015,08:18,04/08/2015,17:20,11.13,Elland Road Park and Ride,APT 7kW Dual Outlet
1130683,User 636,70205,1,05/08/2015,08:00,05/08/2015,17:45,11.22,Elland Road Park and Ride,APT 7kW Dual Outlet
1132210,User 636,70205,1,06/08/2015,08:09,06/08/2015,17:45,10.91,Elland Road Park and Ride,APT 7kW Dual Outlet
1133252,User 83,70207,2,06/08/2015,19:04,06/08/2015,20:56,12.31,Elland Road Park and Ride,APT 7kW Dual Outlet
1137238,User 64,70200,1,09/08/2015,15:12,09/08/2015,18:24,10.8,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1138724,User 51,70208,1,10/08/2015,15:17,10/08/2015,16:35,4.21,Elland Road Park and Ride,APT 7kW Dual Outlet
1139601,User 636,70205,1,11/08/2015,08:14,11/08/2015,17:02,13.48,Elland Road Park and Ride,APT 7kW Dual Outlet
1141151,User 636,70205,1,12/08/2015,07:48,13/08/2015,08:11,11.73,Elland Road Park and Ride,APT 7kW Dual Outlet
1142846,User 636,70206,1,13/08/2015,08:13,13/08/2015,16:12,11.8,Elland Road Park and Ride,APT 7kW Dual Outlet
1151397,User 636,70206,1,17/08/2015,07:07,17/08/2015,16:00,15.8,Elland Road Park and Ride,APT 7kW Dual Outlet
1154504,User 84,70208,1,18/08/2015,07:11,18/08/2015,16:00,12.03,Elland Road Park and Ride,APT 7kW Dual Outlet
1154601,User 636,70206,1,18/08/2015,07:49,18/08/2015,16:12,11.53,Elland Road Park and Ride,APT 7kW Dual Outlet
1155288,User 55,70207,2,18/08/2015,10:09,18/08/2015,12:29,4.99,Elland Road Park and Ride,APT 7kW Dual Outlet
1161432,User 631,70206,1,19/08/2015,11:12,19/08/2015,15:01,14.53,Elland Road Park and Ride,APT 7kW Dual Outlet
1166740,User 84,70208,1,20/08/2015,07:15,20/08/2015,16:10,13.38,Elland Road Park and Ride,APT 7kW Dual Outlet
1166860,User 636,70206,1,20/08/2015,07:44,20/08/2015,16:41,10.73,Elland Road Park and Ride,APT 7kW Dual Outlet
1173241,User 636,70206,1,21/08/2015,08:25,21/08/2015,14:44,17.12,Elland Road Park and Ride,APT 7kW Dual Outlet
1179512,User 63,70204,1,22/08/2015,09:33,22/08/2015,11:29,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1179708,User 84,70203,1,22/08/2015,10:30,22/08/2015,12:48,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1186511,User 64,70200,1,23/08/2015,14:49,23/08/2015,16:59,6.28,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1190283,User 84,70208,1,24/08/2015,07:14,24/08/2015,16:13,15.25,Elland Road Park and Ride,APT 7kW Dual Outlet
1190419,User 636,70206,1,24/08/2015,07:50,24/08/2015,13:41,10.48,Elland Road Park and Ride,APT 7kW Dual Outlet
1196706,User 628,70206,1,25/08/2015,08:44,25/08/2015,17:10,9.58,Elland Road Park and Ride,APT 7kW Dual Outlet
1202411,User 84,70208,1,26/08/2015,07:14,26/08/2015,16:02,14.31,Elland Road Park and Ride,APT 7kW Dual Outlet
1208861,User 628,70206,1,27/08/2015,08:40,27/08/2015,17:27,9.9,Elland Road Park and Ride,APT 7kW Dual Outlet
1209019,User 636,70206,2,27/08/2015,08:53,27/08/2015,17:03,14.91,Elland Road Park and Ride,APT 7kW Dual Outlet
1216142,User 628,70206,1,28/08/2015,08:34,28/08/2015,17:45,6.94,Elland Road Park and Ride,APT 7kW Dual Outlet
1216375,User 636,70206,2,28/08/2015,09:01,28/08/2015,14:50,14.89,Elland Road Park and Ride,APT 7kW Dual Outlet
1220544,User 625,70200,1,28/08/2015,21:35,28/08/2015,23:50,8.46,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1244973,User 84,70208,1,01/09/2015,07:13,01/09/2015,15:59,12.98,Elland Road Park and Ride,APT 7kW Dual Outlet
1247809,User 84,70208,1,02/09/2015,07:14,02/09/2015,16:01,4.9,Elland Road Park and Ride,APT 7kW Dual Outlet
1250079,User 84,70208,1,03/09/2015,07:14,03/09/2015,07:15,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1250080,User 84,70208,1,03/09/2015,07:15,03/09/2015,15:49,4.43,Elland Road Park and Ride,APT 7kW Dual Outlet
1255781,User 64,70200,2,06/09/2015,13:03,06/09/2015,16:03,11.4,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1258604,User 84,70208,2,08/09/2015,07:15,08/09/2015,15:59,13.24,Elland Road Park and Ride,APT 7kW Dual Outlet
1262609,User 84,70208,1,10/09/2015,07:14,10/09/2015,16:02,14.43,Elland Road Park and Ride,APT 7kW Dual Outlet
1266711,User 84,70202,2,12/09/2015,10:52,12/09/2015,12:37,6.56,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1269370,User 84,70207,1,14/09/2015,07:14,14/09/2015,15:59,12.41,Elland Road Park and Ride,APT 7kW Dual Outlet
1269466,User 628,70206,1,14/09/2015,08:41,14/09/2015,16:40,3.06,Elland Road Park and Ride,APT 7kW Dual Outlet
1269469,User 636,70206,2,14/09/2015,08:44,14/09/2015,18:00,13.87,Elland Road Park and Ride,APT 7kW Dual Outlet
1270366,User 44,70201,1,14/09/2015,16:44,14/09/2015,20:21,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1271498,User 636,70206,1,15/09/2015,09:23,15/09/2015,17:22,17.28,Elland Road Park and Ride,APT 7kW Dual Outlet
1271878,User 96,70203,2,15/09/2015,12:54,15/09/2015,18:03,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
