Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
9953306,User 380,70204,1,01/07/2020,07:48,01/07/2020,17:26,4.3,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9953495,User 372,70200,2,01/07/2020,08:54,01/07/2020,16:24,9.31,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9953572,User 324,51467,2,01/07/2020,09:21,01/07/2020,15:36,4.53,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9954480,User 621,70204,2,01/07/2020,14:47,02/07/2020,08:22,26.26,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9954752,User 624,51467,2,01/07/2020,16:22,02/07/2020,10:20,6.46,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9954788,User 620,70200,1,01/07/2020,16:35,02/07/2020,10:19,7.35,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9955088,User 612,70203,1,01/07/2020,18:55,03/07/2020,19:06,4.63,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9955130,User 623,70203,2,01/07/2020,19:09,02/07/2020,08:23,26.74,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9955374,User 613,70201,1,01/07/2020,21:56,02/07/2020,10:45,6.25,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9955382,User 615,70204,1,01/07/2020,22:01,02/07/2020,19:21,5.86,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9955679,User 380,70202,1,02/07/2020,07:46,02/07/2020,17:57,5.16,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9955693,User 520,70202,2,02/07/2020,07:50,02/07/2020,16:28,17.27,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9955795,User 372,51468,2,02/07/2020,08:24,02/07/2020,14:29,8.74,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9955832,User 472,51468,1,02/07/2020,08:36,02/07/2020,09:37,1.14,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9956231,User 1091,70201,2,02/07/2020,11:08,02/07/2020,13:47,9.53,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9956813,User 63,51468,1,02/07/2020,11:28,02/07/2020,15:03,4.58,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9956848,User 621,70200,1,02/07/2020,14:42,02/07/2020,17:53,18.02,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9957118,User 624,51468,2,02/07/2020,16:26,03/07/2020,08:07,7.33,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9957139,User 620,51467,2,02/07/2020,16:34,03/07/2020,10:01,7.85,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9957153,User 614,70204,2,02/07/2020,16:41,03/07/2020,18:03,8.52,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9957158,User 613,70202,2,02/07/2020,16:42,02/07/2020,17:53,4.43,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9957692,User 613,70202,1,02/07/2020,21:29,03/07/2020,19:05,9.19,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9957693,User 621,70201,1,02/07/2020,21:29,04/07/2020,08:05,4.4,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9957986,User 546,70203,2,03/07/2020,07:12,03/07/2020,15:08,8.77,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9958066,User 848,70200,2,03/07/2020,07:56,03/07/2020,17:17,30.98,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9958093,User 520,70202,2,03/07/2020,08:03,03/07/2020,11:37,12.86,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9959263,User 624,51467,2,03/07/2020,14:24,06/07/2020,10:23,5.35,Woodhouse Lane Car Park,APT 7kW Dual Outlet
9959266,User 623,51468,1,03/07/2020,14:24,05/07/2020,13:24,5.31,Woodhouse Lane Car Park,APT 7kW Dual Outlet
